key,english,current_shona_draft,keep_english_only,shona_final_fill_here
brand.tagline,Ride Harare. Keep your change.,Famba muHarare. Chenji yako haichararasika.,YES,
nav.signIn,Sign in,Pinda,no,
landing.headline1,Beyond the,Kupfuura,YES,
landing.headlineWord,Kombi,Kombi,YES,
landing.body,"Plan every trip, get smart suggestions before you leave, and ride with your safety looked after.","Ronga rwendo rwega rwega, uwane mazano usati wasimuka, uye ufambe takachengetedza kuchengeteka kwako.",no,
landing.cta,Find your kombi,Tsvaga kombi yako,no,
landing.statChange,Change kept,Chenji yakachengetwa,no,
landing.statWeek,this week,svondo rino,no,
landing.signinHint,Hwindi or fleet owner?,Uri hwindi kana muridzi?,no,
landing.signinLink,Sign in here,Pinda pano,no,
landing.demoLead,"Walk straight in as Tino, a demo rider on the live system. No sign up.","Pinda pakarepo saTino, mufambi wekuratidzira pane system chaiyo. Hapana kunyoresa.",no,
landing.demoEnter,Enter the demo,Pinda mudemo,no,
landing.demoOwner,Owner dashboard,Dashboard yemuridzi,no,
landing.shelfReal,"Real stories, real money on the live system","Nyaya chaidzo, mari chaiyo pasisitimu mhenyu",no,
landing.shelfIntel,"The intelligence, three spines with their evidence","Njere dzacho, misana mitatu neuchapupu hwayo",no,
landing.intelEta,How Svika knows your arrival,Svika inoziva sei kusvika kwako,no,
landing.intelTakunda,"Takunda's alert, the learned routine","Yeuchidzo yaTakunda, tsika yakadzidzwa",no,
landing.intelWatchdog,The watchdog catches a leak,Murindi anobata kuvhaya,no,
landing.shelfVision,"Vision scenes, simulations of what ships next","Zviratidzo zveramangwana, kufananidzira kwezvinotevera",no,
landing.visionTinashe,"The crash flow, Tinashe","Tsaona, Tinashe",no,
landing.visionGogo,Gogo's mbudzi,Mbudzi yaGogo,no,
landing.visionCapacity,Kombi capacity,Kuzara kwekombi,no,
landing.demoStory1,Change becomes credit,Chenji inova mari,no,
landing.demoStory2,Two kombis and a walk,Makombi maviri nekufamba,no,
landing.demoStory4,Rudo's night ride,Rwendo rwehusiku rwaRudo,no,
landing.demoErr,The demo door is busy. Try again in a minute.,Mukova wedemo wakabatikana. Edzazve munguva pfupi.,no,
demo.chip,Demo account,Akaunti yekuratidzira,no,
story.next,Next,Enderera,no,
story.back,Back a step,Dzokera danho,no,
story.stay,Stay and explore,Gara uzvionere,no,
story.shelf,Back to the stories,Dzokera kunyaya,no,
story.live,Now try it yourself. Everything on this screen is live.,Zviedze wega manje. Zvese zviri pano zvinoshanda.,no,
story.liveVision,Now try it yourself. This scene is a simulation and touches no real account.,"Zviedze wega manje. Ichi chiratidzo chekufananidzira, hachibate akaunti chaiyo.",no,
story.exit,Exit story,Buda munyaya,no,
story.err,"That step could not run. Try next again, or exit the story.","Danho iri harina kushanda. Edzazve, kana kubuda munyaya.",no,
story.town.0,Meet Tino. She rides this corridor into town most mornings. Watch one normal trip.,Uyu ndiTino. Anokwira nzira iyi achienda kutown mangwanani mazhinji. Ona rwendo rumwe chete.,no,
story.town.1,"She types where she is going. The planner quotes the real corridor fare: $1.50, one kombi.","Anonyora kwaari kuenda. Planner inomupa mutengo chaiwo: $1.50, kombi imwe.",no,
story.town.2,She reserves her seat now and will pay cash on board. Next books it through the real engine.,"Anochengetedza nzvimbo yake, obhadhara cash mukombi. Enderera inobhuka nesystem chaiyo.",no,
story.town.3,Her boarding card is ready. On the kombi she shows the 4 digit code and hands over a $2 note.,Kadhi rake rekukwira ragadzirira. Mukombi anoratidza kodhi ye4 obva apa $2.,no,
story.town.4,The hwindi clears her code and keys in the $2 note. The hwindi here is simulated; the money moves through the real ledger.,Hwindi anobvisa kodhi yake onyora $2. Hwindi pano ndeyekuratidzira; mari inofamba nebhuku remari chairo.,no,
story.town.5,"Her 50 cents of change is wallet credit now, not a promise on a moving kombi. Story over.","Chenji yake yemasendi 50 yava mari muchikwama, kwete vimbiso mukombi inofamba. Nyaya yapera.",no,
story.transfer.0,"Not every trip is one kombi. Heights to Avondale takes two, with a short walk between them.","Haisi nzendo dzese dzine kombi imwe. Heights kusvika Avondale inoda mbiri, nekufamba kupfupi pakati.",no,
story.transfer.1,"The walking leg is drawn dashed on the real map, and one quote covers both kombis: $3.00.","Chikamu chekufamba chakadhirowewa nemadota pamepu chaiyo, uye mutengo mumwe unobata makombi ese: $3.00.",no,
story.transfer.2,"One tap bought both legs from her wallet. Two boarding codes, one per kombi. Story over.","Kubaya kamwe kwatenga zvikamu zvese kubva muchikwama. Makodhi maviri, imwe pakombi imwe neimwe. Nyaya yapera.",no,
story.tk.0,"Meet Takunda. He rides this corridor to work every morning, and his alert is live: the usual kombi is close, with today's real minutes from the live feed. A fixed alarm cannot know that.","Uyu ndiTakunda. Anokwira nzira iyi kubasa mangwanani ega ega, uye yeuchidzo yake iri kushanda: kombi yaanogara achikwira yaswedera, nemaminitsi echokwadi anhasi. Alarm yakagadzikwa haigone kuzviziva.",no,
story.tk.1,His trip lives as a quick pick. Next books it from his wallet through the real engine.,Rwendo rwake rwakachengetwa. Enderera inorubhuka kubva muchikwama chake nesystem chaiyo.,no,
story.tk.2,His boarding card is ready. The hwindi here is simulated; the clearing and the money move through the real ledger.,Kadhi rake rekukwira ragadzirira. Hwindi pano ndeyekuratidzira; kubvisa nemari zvinofamba nebhuku remari chairo.,no,
story.tk.3,He is on board. Watch: the voice speaks as his stop nears. The last stretch of the ride is fast forwarded; the triggers are the real engine.,Ava mukombi. Tarisa: inzwi rinotaura chiteshi chake chava pedyo. Chikamu chekupedzisira cherwendo chakakurumidziswa; zvinomutsa inzwi ndezvechokwadi.,no,
story.ru.0,It is late and Rudo's wallet was stolen in town. Her Svika balance reads zero. Watch what her people can do about it.,Kwadoka uye chikwama chaRudo chakabiwa mutown. Mari yake muSvika iri pazero. Ona zvinogona kuitwa nevanhu vake.,no,
story.ru.1,A friend sends her credit from their own wallet. The friend is simulated; the escrow is the real ledger.,Shamwari inomutumira mari kubva muchikwama chayo. Shamwari ndeyekuratidzira; mari inochengetwa mubhuku remari chairo.,no,
story.ru.2,A claim code reaches her phone (simulated SMS). Next types it in for her.,Kodhi yekutora inosvika pafoni yake (SMS yekuratidzira). Enderera inoinyora.,no,
story.ru.3,The credit landed in her wallet. She books the kombi home with it.,Mari yapinda muchikwama chake. Anobhuka kombi yekuenda kumba nayo.,no,
story.ru.4,Her boarding card is ready and the simulated hwindi clears her code. She is on her way.,Kadhi rake ragadzirira uye hwindi yekuratidzira yabvisa kodhi yake. Ava munzira.,no,
story.ru.5,"Her mother worries. Next creates a live share link, straight from her ticket.","Amai vake vanofunganya. Enderera inogadzira link yekuona rwendo, kubva patikiti rake.",no,
story.ru.6,"This is exactly what her mother sees, no account needed: the trip, the arrival estimate, never the code or the wallet. The link dies when the trip ends.","Izvi ndizvo chaizvo zvinoonekwa naamai vake, pasina akaunti: rwendo, fungidziro yekusvika, kwete kodhi kana chikwama. Link inofa kana rwendo rwapera.",no,
login.title,Sign in to Svika,Pinda muSvika,no,
login.phoneLabel,Phone number,Nhamba yefoni,no,
login.send,Send code,Tumira kodhi,no,
login.sending,Sending…,Kutumira…,no,
login.codeLabel,Enter the 6-digit code,Isa kodhi yenhamba 6,no,
login.verify,Verify,Simbisa,no,
login.verifying,Verifying…,Kusimbisa…,no,
login.resend,Send a new code,Tumira kodhi itsva,no,
login.codeSentTo,We sent a code to,Tatumira kodhi ku,no,
login.errPhone,Enter a valid phone number.,Isa nhamba yefoni chaiyo.,no,
login.errCode,That code did not work. Try again.,Kodhi iyi haina kushanda. Edzazve.,no,
app.welcome,Welcome,Mauya,no,
app.roleLabel,Your role,Basa rako,no,
app.phoneLabel,Phone,Foni,no,
app.signOut,Sign out,Buda,no,
role.rider,Rider,Mufambi,no,
role.owner,Owner,Muridzi,no,
role.conductor,Conductor,Hwindi,no,
common.back,Back,Dzokera,no,
common.minutes,min,min,no,
common.to,to,kusvika,no,
rider.searchTitle,Where are you going?,Uri kuenda kupi?,no,
rider.fromLabel,From,Kubva,no,
rider.toLabel,To,Kuenda,no,
rider.fromPlaceholder,"e.g. Heights, UZ, Market Square","semuenzaniso: Heights, UZ, Market Square",no,
rider.toPlaceholder,"e.g. Avondale, Sam Levy's, town","semuenzaniso: Avondale, Sam Levy's, town",no,
rider.planCta,Plan my trip,Ronga rwendo,no,
rider.walletBalance,Wallet credit,Mari muchikwama,no,
rider.tickets,Your tickets,Matikiti ako,no,
rider.noTickets,No tickets yet. Plan a trip to get one.,Hausati une matikiti. Ronga rwendo kuti uwane.,no,
plan.title,Your trip,Rwendo rwako,no,
plan.sheetOpen,Show the legs of this trip,Ona zvikamu zverwendo,no,
plan.ride,Ride,Kwira,no,
plan.walk,Walk,Famba,no,
plan.alightAt,Get off at,Buruka pa,no,
plan.totalFare,Total fare,Mari yese,no,
plan.about,About,Inenge,no,
plan.boardings,kombis,makombi,no,
plan.payWallet,Pay from wallet,Bhadhara nechikwama,no,
plan.reserveCash,"Reserve, pay cash on board","Chengetedza nzvimbo, ubhadhare cash mukombi",no,
plan.pickFrom,Choose your starting stop,Sarudza chiteshi chaunokwira,no,
plan.pickTo,Choose where you are going,Sarudza chiteshi chaunoburuka,no,
plan.noMatch,We do not know that place yet. Pick a stop from the list.,Hatisati tichiziva nzvimbo iyoyo. Sarudza chiteshi pane zviripo.,no,
plan.noRoute,No route found between those stops yet.,Hapasati pane nzira pakati pezviteshi izvozvo.,no,
plan.insufficient,Not enough wallet credit. Reserve and pay cash on board.,Mari muchikwama haikwane. Chengetedza nzvimbo ubhadhare cash mukombi.,no,
ticket.title,Board code,Kodhi yekukwira,no,
ticket.screenTitle,Your ticket,Tikiti rako,no,
ticket.showHwindi,Show this code to the hwindi when you board.,Ratidza hwindi kodhi iyi paunokwira.,no,
ticket.fare,Fare,Mari,no,
ticket.payment,Payment,Kubhadhara,no,
ticket.route,Route,Nzira,no,
ticket.validUntil,Valid until,Inoshanda kusvika,no,
ticket.payCash,Pay cash on board,Bhadhara cash mukombi,no,
ticket.paidWallet,Paid from wallet,Yabhadharwa nechikwama,no,
ticket.status.issued,Ready to board,Yakamirira kukwira,no,
ticket.status.redeemed,Cleared,Yabhadharwa,no,
ticket.status.cancelled,Cancelled,Yakanzurwa,no,
ticket.status.expired,Expired,Yapera,no,
ticket.status.refunded,Refunded,Yadzorerwa,no,
ticket.legOf,Leg,Chikamu,no,
ticket.status.loaded,On the kombi,Wakwira kombi,no,
ticket.status.collected,Collected,Watorwa,no,
wallet.title,Your wallet,Chikwama chako,no,
wallet.balanceLabel,Balance,Mari iripo,no,
wallet.changeChip,Change kept,Chenji yakachengetwa,no,
wallet.changeTitle,Change kept as credit,Chenji yakachengetwa semari,no,
wallet.changeTotal,Kept so far,Yakachengetwa kusvika zvino,no,
wallet.changeBody,"When you pay cash and the hwindi cannot give change, the difference lands here as credit instead of leaving with the kombi.","Paunobhadhara cash uye hwindi asina chenji, mari inosara inopinda muno semari yako pane kuenda nekombi.",no,
wallet.changeNone,"No change credited yet. The first time a hwindi owes you change, it lands here.","Hapasati pane chenji yapinda. Kekutanga hwindi akakuomerwa nechenji, inopinda muno.",no,
wallet.open,Wallet,Chikwama,no,
wallet.history,Recent activity,Zvichangobva kuitika,no,
wallet.sendTitle,Send credit,Tumira mari,no,
wallet.sendAmount,Amount,Mari,no,
wallet.sendCta,Send,Tumira,no,
wallet.sendHint,You get a claim code to share. Unclaimed credit comes back when you cancel.,Unopiwa kodhi yekupa mumwe. Mari isina kutorwa inodzoka kana ukakanzura.,no,
wallet.claimTitle,Claim credit,Tora mari,no,
wallet.claimLabel,Claim code,Kodhi yekutora,no,
wallet.claimCta,Claim,Tora,no,
wallet.claimed,Credit claimed,Mari yapinda,no,
wallet.claimInvalid,That code did not work.,Kodhi iyi haina kushanda.,no,
wallet.claimAlready,That code was already claimed.,Kodhi iyi yakatotorwa.,no,
wallet.claimRateLimited,Too many tries. Wait 10 minutes.,Wakaedza kakawanda. Mira maminitsi gumi.,no,
wallet.sent,Share this code,Ipa mumwe kodhi iyi,no,
wallet.pending,Waiting to be claimed,Yakamirira kutorwa,no,
wallet.cancel,Cancel and take it back,Kanzura udzorerwe,no,
wallet.sendErr,Could not send. Check your balance.,Hatina kukwanisa kutumira. Tarisa mari yako.,no,
wallet.txn.topup,Top up,Kuisa mari,no,
wallet.txn.ticket_purchase,Ticket,Tikiti,no,
wallet.txn.fare_settlement,Fare settled,Mari yerwendo,no,
wallet.txn.change_credit,Change to credit,Chenji,no,
wallet.txn.transfer_send,Credit sent,Mari yatumirwa,no,
wallet.txn.transfer_claim,Credit claimed,Mari yatorwa,no,
wallet.txn.transfer_cancel,Transfer cancelled,Kutumira kwakanzurwa,no,
wallet.txn.refund,Refund,Kudzorerwa,no,
wallet.txn.adjustment,Adjustment,Kugadzirisa,no,
parcel.title,Send a parcel,Tumira katundu,no,
parcel.open,Parcels,Katundu,no,
parcel.route,Route,Nzira,no,
parcel.from,Load at,Kukwidza pa,no,
parcel.to,Collect at,Kutora pa,no,
parcel.payWallet,Pay from wallet,Bhadhara nechikwama,no,
parcel.payCash,Pay cash at loading,Bhadhara cash pakukwidza,no,
parcel.loadCode,LOAD code,Kodhi yekukwidza,no,
parcel.collectCode,COLLECT code,Kodhi yekutora,no,
parcel.loadHint,Give the LOAD code with the parcel. Send the COLLECT code to the receiver.,Ipa hwindi kodhi yekukwidza pamwe nekatundu. Tumira kodhi yekutora kune anogamuchira.,no,
parcel.yours,Your parcels,Katundu kako,no,
parcel.none,No parcels yet.,Hausati une katundu.,no,
parcel.err,Could not book the parcel.,Katundu hakana kubhukwa.,no,
parcel.errBalance,Not enough wallet credit. Pay cash at loading instead.,Mari muchikwama haikwane. Bhadhara cash pakukwidza.,no,
owner.title,Revenue,Mari yakapinda,no,
owner.open,Owner view,Muridzi,no,
owner.balance,Wallet balance,Mari muchikwama,no,
owner.day,Day,Zuva,no,
owner.route,Route,Nzira,no,
owner.tickets,Fares,Vafambi,no,
owner.gross,Gross,Yese,no,
owner.commission,Hwindi,Hwindi,no,
owner.net,Yours,Yako,no,
owner.none,No settled digital fares yet.,Hapasati pane mari yedijitari yakapinda.,no,
owner.note,Every figure comes straight from the ledger. Cash fares stay with the crew and are not counted here.,Nhamba dzese dzinobva mubhuku remari. Cash inosara nevashandi haiverengwi pano.,no,
owner.watchdog,Revenue watchdog,Murindi wemari,no,
owner.watchdogSimulated,Simulated history,Nhoroondo yakagadzirwa,no,
owner.watchdogSummary,"{count} simulated days scanned, {flagged} flagged","Mazuva {count} akaongororwa, {flagged} akadomwa",no,
owner.watchdogNone,No unusual days in the scanned history.,Hapana zuva risina kujairika pane akaongororwa.,no,
owner.watchdogEmpty,No simulated history loaded yet.,Hapasati pane nhoroondo yakagadzirwa.,no,
owner.wdForest,Forest flagged this day,Sango rakadoma zuva iri,no,
owner.wdThresholdSilent,the fixed threshold rule stayed silent,mutemo wakagadzikwa wakaramba wakanyarara,no,
owner.wdThresholdFired,the fixed threshold rule also fired,mutemo wakagadzikwa wakadomawo,no,
owner.watchdogNote,"Flags describe patterns, never a person. This card runs on clearly labelled simulated history until the network has months of real fares.","Zviratidzo zvinotaura maitiro, kwete munhu. Kadhi iri rinoshanda nenhoroondo yakagadzirwa kusvika network yava nemwedzi yemari chaiyo.",no,
owner.netToDate,Net to date,Yako yese,no,
owner.chartTitle,"Digital fares, last 14 days","Mari yedijitari, mazuva 14 apfuura",no,
owner.chartNet,Net in this window,Yako mumazuva aya,no,
owner.routesTitle,By route,Nenzira,no,
owner.fares,fares,vafambi,no,
owner.taxTitle,ZIMRA presumptive tax,Mutero weZIMRA,no,
owner.taxBody,"Kombis pay a flat monthly presumptive tax of $50 to $60, collected with the ZINARA licence. It is a fixed amount, not a share of takings.","Makombi anobhadhara mutero wakatarwa we$50 kusvika $60 pamwedzi, unotorwa nerezinesi reZINARA. Imari yakatarwa, kwete chikamu chemari inopinda.",no,
owner.taxHint,"Your statement is the digital record of what each kombi actually earned, ready for the conversation ZIMRA actually has.",Statement yako ndiyo chinyorwa chedijitari chemari yakapinda pakombi imwe neimwe.,no,
owner.statementOpen,Print a statement,Dhinda statement,no,
statement.title,Revenue statement,Statement yemari,no,
statement.period,Period,Nguva,no,
statement.generated,Generated,Yagadzirwa,no,
statement.owner,Owner,Muridzi,no,
statement.print,Print,Dhinda,no,
statement.totals,Totals,Zvese,no,
statement.note,Every figure derives from Svika's append only ledger of settled digital fares. Cash fares stay with the crew and are not counted. Presumptive tax for kombis is a flat $50 to $60 a month collected with the ZINARA licence; this statement is the earnings record beside it.,Nhamba dzese dzinobva mubhuku remari reSvika risingagadziridzwe. Cash inosara nevashandi haiverengwi. Mutero wemakombi imari yakatarwa ye$50 kusvika $60 pamwedzi inotorwa nerezinesi reZINARA; statement iyi ndiyo chinyorwa chemari yakapinda parutivi pawo.,no,
home.sheetHint,Type in Shona or English.,Nyora muchiShona kana chiRungu.,no,
home.sheetOpen,Show wallet and tickets,Ona chikwama nematikiti,no,
home.sheetClose,Show more of the map,Ona mepu yakakura,no,
home.peekArrives,Arrives,Inosvika,no,
home.peekFrom,from,kubva pa,no,
nav.home,Home,Kumba,no,
nav.rides,Rides,Nzendo,no,
nav.wallet,Wallet,Chikwama,no,
nav.you,You,Iwe,no,
home.yourTrips,Your trips,Nzendo dzako,no,
home.etaDemo,demo estimate,fungidziro yekuratidzira,no,
home.etaFromRide,from 1 recorded ride,kubva parwendo 1 rwakarekodhwa,no,
home.etaFromRides,from {count} recorded rides,kubva panzendo {count} dzakarekodhwa,no,
eta.cardAria,Where this number comes from,Kunobva nhamba iyi,no,
eta.cardTitle,Where this number comes from,Kunobva nhamba iyi,no,
eta.cardMeasured,"It is measured from {count} real rides we recorded on this road, phone in hand.","Yakayerwa kubva panzendo {count} chaidzo dzatakarekodha munzira ino, nefoni muruoko.",no,
eta.cardModel,A trained model waits behind a promotion rule. It serves only when committed numbers prove it beats this measured average on held out rides.,Modhi yakadzidziswa yakamirira mutemo wekukwidziridzwa. Inoshanda chete kana nhamba dzakachengetwa dzichiratidza kuti inokunda avhareji iyi.,no,
eta.cardImprove,Every new recorded ride sharpens it.,Rwendo rwega rwega rutsva rwakarekodhwa runoinatsa.,no,
eta.cardDemo,"This is a demo estimate from the offline twin, not a measurement.","Iyi ifungidziro yekuratidzira kubva kumbeu yekumira, kwete chiyero.",no,
eta.cardDemoWhen,It serves when the arrival engine is unreachable or the trip is off the recorded corridor.,Inoshanda kana injini yekusvika isingawanikwe kana rwendo rusiri munzira yakarekodhwa.,no,
eta.cardClose,Close,Vhara,no,
eta.cardMore,See how Svika knows,Ona kuti Svika inoziva sei,no,
intel.title,How Svika knows your arrival,Svika inoziva sei kusvika kwako,no,
intel.intro,"No kombi runs on a timetable. The number on your screen stands on a ladder you can check, rung by rung.",Hapana kombi inofamba netimetable. Nhamba iri pascreen yako yakamira padanho raunogona kuongorora.,no,
intel.rung1H,"Measured, serving today","Yakayerwa, iri kushanda nhasi",no,
intel.rung1B,"The number you see is a plain average over segment times from {count} real rides recorded on this road, phone in hand. Its label on every screen says so.",Nhamba yaunoona iavhareji yenguva dzezvikamu kubva panzendo {count} chaidzo dzakarekodhwa munzira ino. Chiratidzo chayo pascreen yega yega chinozvitaura.,no,
intel.rung2H,"Trained, waiting","Yakadzidziswa, yakamirira",no,
intel.rung2B,A model that learns how each hour of the day moves is trained on the same rides. It does not serve yet.,Modhi inodzidza mafambiro eawa rega rega yakadzidziswa nenzendo dzimwe chetedzo. Haisati yashanda.,no,
intel.rung3H,One rule decides,Mutemo mumwe ndiwo unosarudza,no,
intel.rung3B,The model serves only when there are at least {min} recorded journeys and it beats the average on rides it never saw. The verdict lives in a committed file; nothing else decides.,Modhi inoshanda chete kana pane nzendo {min} kana kupfuura dzakarekodhwa uye ichikunda avhareji panzendo yaisati yamboona. Mutongo unogara mufaira yakachengetwa; hapana chimwe chinosarudza.,no,
intel.tableH,The committed evidence,Uchapupu hwakachengetwa,no,
intel.rowJourneys,Recorded journeys,Nzendo dzakarekodhwa,no,
intel.rowSegments,Segment observations,Zvikamu zvakaonekwa,no,
intel.rowBaseline,"Baseline error, held out",Kukanganisa kweavhareji,no,
