key,english,current_shona_draft,keep_english_only,shona_final_fill_here
intel.rowModel,"Model error, held out",Kukanganisa kwemodhi,no,
intel.rowServed,Serving now,Iri kushanda,no,
intel.verdictPromoted,"The model beat the baseline on held out rides, so it serves.","Modhi yakakunda avhareji panzendo dzayaisati yaona, saka iri kushanda.",no,
intel.verdictHeld,"Verdict: not enough rides to trust any evaluation (the rule asks for {min}), so the plain average serves and every estimate says how many rides it stands on.","Mutongo: nzendo hadzisati dzakwana kuvimba nechiyero (mutemo unoda {min}), saka avhareji ndiyo inoshanda uye fungidziro yega yega inotaura nzendo dzainomira padziri.",no,
intel.note,"This table is the training run's own committed file, not retyped numbers. It updates when new rides are recorded.","Tafura iyi ifaira rakachengetwa rekudzidziswa pachako, kwete nhamba dzakanyorwazve. Inovandudzwa kana nzendo itsva dzarekodhwa.",no,
plan.saveTitle,Save this trip for your home map,Chengetedza rwendo urwu pamepu yako,no,
plan.savePlaceholder,e.g. Work trip,semuenzaniso: Rwendo rwebasa,no,
plan.saveCta,Save,Chengetedza,no,
plan.savedNote,Saved. It now lives on your home map.,Zvachengetedzwa. Rwava pamepu yako yekutanga.,no,
plan.saveErr,That name did not save. Try a shorter one.,Zita iri harina kuchengetedzwa. Edza rakapfupika.,no,
theme.toDark,Switch to night mode,Shandura kuita chiedza cheusiku,no,
theme.toLight,Switch to day mode,Shandura kuita chiedza chemasikati,no,
map.ariaLabel,"Map of the Heights to Rezende corridor with kombis moving along the road. Vehicle movement is a demo, not live tracking.","Mepu yenzira yeHeights kusvika Rezende ine makombi ari kufamba mumugwagwa. Kufamba kwemakombi ndekwekuratidzira, hakusi live.",no,
map.demoChip,Demo movement,Kuratidzira,no,
map.viewWhole,Whole route,Nzira yose,no,
map.viewNear,Boarding area,Panokwirwa,no,
map.unavailable,The map could not load. Your trips and wallet still work.,Mepu haina kukwanisa kuvhurika. Nzendo dzako nechikwama zvichiri kushanda.,no,
consent.title,Before you ride,Usati wafamba,no,
consent.intro,"Svika keeps a record of your trips, tickets and wallet credit so your change never gets lost. Here is what that means.","Svika inochengeta nzendo dzako, matikiti nemari yechikwama kuti chenji yako irege kurasika. Hezvino zvazvinoreva.",no,
consent.point1,"Your name, phone number and language choice are stored with your account.","Zita rako, nhamba yefoni nemutauro waunosarudza zvinochengetwa neakaunti yako.",no,
consent.point2,Every ticket and wallet movement is kept. Money history is never edited or deleted.,Tikiti rimwe nerimwe nekufamba kwemari zvinochengetwa. Nhoroondo yemari haigadziridzwe kana kudzimwa.,no,
consent.point3,"Trip patterns improve arrival predictions. Owners see route totals, never your name.","Mafambiro enzendo anovandudza fungidziro dzekusvika. Varidzi vanoona huwandu hwenzira, kwete zita rako.",no,
consent.point4,You can see everything Svika holds about you and delete your details at any time.,Unogona kuona zvese zvakachengetwa neSvika nezvako uye kudzima ruzivo rwako chero nguva.,no,
consent.noticeLink,Read the full privacy notice,Verenga chiziviso chekuvanzika chizere,no,
consent.accept,I understand and agree,Ndanzwisisa uye ndinobvuma,no,
consent.declineHint,"If you do not agree, sign out. Nothing beyond your sign in is stored.","Kana usingabvume, buda. Hapana chinochengetwa kunze kwekupinda kwako.",no,
consent.err,That did not save. Try again.,Hazvina kuchengetedzwa. Edzazve.,no,
privacy.title,How Svika treats your data,Svika inobata sei ruzivo rwako,no,
privacy.collectH,What Svika stores,Zvinochengetwa neSvika,no,
privacy.collectB,"Your name, phone number, language, tickets, wallet credit and the trips you save. Nothing else.","Zita rako, nhamba yefoni, mutauro, matikiti, mari yechikwama nenzendo dzaunochengeta. Hapana zvimwe.",no,
privacy.whyH,Why,Sei,no,
privacy.whyB,"Tickets and credit are money, so they need a full record. Trip patterns make arrival predictions better for everyone.",Matikiti nemari zvinoda nhoroondo izere. Mafambiro enzendo anonatsiridza fungidziro dzekusvika kune wese.,no,
privacy.moneyH,The money rule,Mutemo wemari,no,
privacy.moneyB,"The wallet is an append only ledger. Entries are added, never edited, never deleted. That is how your change stays safe.","Chikwama ibhuku remari rinongowedzerwa. Zvinyorwa zvinowedzerwa, hazvigadziridzwe, hazvidzimwe. Ndiko kuchengetedzwa kwechenji yako.",no,
privacy.aiH,What the AI sees,Zvinoonekwa neAI,no,
privacy.aiB,Predictions and leakage checks run on our servers over patterns and totals. They never name a person and nothing runs on your phone.,Fungidziro nekuongorora mari zvinoshanda pamaseva edu zvichishandisa mafambiro nehuwandu. Hazvidome munhu uye hapana chinoshanda pafoni yako.,no,
privacy.shareH,Who sees your data,Ndiani anoona ruzivo rwako,no,
privacy.shareB,"Nobody outside Svika. No selling, no adverts. Owners see route totals, conductors see board codes, neither sees who you are.","Hapana ari kunze kweSvika. Hakuna kutengeswa, hakuna zvishambadzo. Varidzi vanoona huwandu hwenzira, mahwindi anoona makodhi, hapana anoona kuti ndiwe ani.",no,
privacy.controlH,Your controls,Masimba ako,no,
privacy.controlB,"The your data page shows everything held about you. Deleting removes your name, phone and saved trips; ticket and money history stays but no longer says who you are.","Peji reruzivo rwako rinoratidza zvese zvakachengetwa nezvako. Kudzima kunobvisa zita, foni nenzendo dzakachengetwa; nhoroondo yematikiti nemari inosara asi haichataure kuti ndiwe ani.",no,
privacy.versionLabel,Notice version,Vhezheni yechiziviso,no,
privacy.yourDataLink,Your data and privacy,Ruzivo rwako nekuvanzika,no,
lang.english,English,Chirungu,no,
lang.shona,Shona,ChiShona,no,
yourdata.title,What Svika knows about you,Zvinozivikanwa neSvika nezvako,no,
yourdata.profileH,Your profile,Ruzivo rwako,no,
yourdata.name,Name,Zita,no,
yourdata.language,Language,Mutauro,no,
yourdata.none,Not set,Hapana,no,
yourdata.countsH,Your history,Nhoroondo yako,no,
yourdata.tickets,Tickets,Matikiti,no,
yourdata.movements,Wallet movements,Kufamba kwemari,no,
yourdata.savedTrips,Saved trips,Nzendo dzakachengetwa,no,
yourdata.consents,Consent records,Zvinyorwa zvemvumo,no,
yourdata.deleteH,Delete your details,Dzima ruzivo rwako,no,
yourdata.deleteB,"Money and ticket history is append only, so it cannot be erased. Deleting removes your name and phone, deletes your saved trips, and closes the app until you agree again. Your sign in stays until an operator removes it.","Nhoroondo yemari nematikiti inongowedzerwa, saka haigone kudzimwa. Kudzima kunobvisa zita nefoni yako, kunodzima nzendo dzakachengetwa, uye kunovhara app kusvika wabvumazve. Kupinda kwako kunosara kusvika mushandi akubvisa.",no,
yourdata.deleteCta,Delete my details,Dzima ruzivo rwangu,no,
yourdata.deleteConfirm,"Yes, delete my details","Hongu, dzima ruzivo rwangu",no,
yourdata.deleteCancel,Keep them,Zvichengete,no,
yourdata.err,That did not work. Try again.,Hazvina kushanda. Edzazve.,no,
profile.open,Profile and settings,Profile nemarongero,no,
profile.title,Your Svika,Svika yako,no,
profile.greetMorning,Good morning,Mangwanani,no,
profile.greetAfternoon,Good afternoon,Masikati,no,
profile.greetEvening,Good evening,Manheru,no,
profile.welcomeNoName,Welcome to Svika,Mauya kuSvika,no,
profile.statTotal,Total rides,Nzendo dzese,no,
profile.statMonth,This month,Mwedzi uno,no,
profile.statFave,Top trip,Rwendo rukuru,no,
profile.statsEmpty,No rides yet. Plan a trip and your count starts here.,Hapana nzendo. Ronga rwendo uye kuverenga kwako kunotangira pano.,no,
profile.statsDemo,Some of these rides are simulated demo history.,Dzimwe nzendo idzi inhoroondo yekuratidzira.,no,
profile.settingsH,Settings,Marongero,no,
profile.appearanceH,Look and language,Chitarisiko nemutauro,no,
profile.languageH,Language,Mutauro,no,
profile.themeH,Day or night,Masikati kana usiku,no,
profile.youH,Your details,Ruzivo rwako,no,
profile.nameLabel,Your name,Zita rako,no,
profile.phoneLabel,Phone,Foni,no,
profile.saveCta,Save,Chengeta,no,
profile.savedNote,Saved.,Zvachengetwa.,no,
profile.tripsH,Saved trips,Nzendo dzakachengetwa,no,
profile.tripsNone,No saved trips yet. Plan a trip and give it a name.,Hapana nzendo dzakachengetwa. Ronga rwendo urwupe zita.,no,
profile.renameCta,Rename,Shandura zita,no,
profile.removeCta,Remove,Bvisa,no,
profile.historyH,Your rides,Nzendo dzako,no,
profile.historySummary,{count} rides with Svika since {month}.,Nzendo {count} neSvika kubva {month}.,no,
profile.historyFirst,Your first ride with Svika.,Rwendo rwako rwekutanga neSvika.,no,
profile.historyNone,Your rides will appear here after your first trip.,Nzendo dzako dzichaonekwa pano mushure merwendo rwekutanga.,no,
profile.alertsH,Commute alerts,Yeuchidzo dzerwendo,no,
profile.alertsB,"When your usual kombi is getting close in your usual travel window, Svika tells you. Built only from your own ride history.","Kana kombi yaunogara uchikwira yaswedera panguva yaunowanzofamba, Svika inokuudza. Zvinobva munhoroondo yenzendo dzako chete.",no,
profile.voiceH,Voice guide,Inzwi rinotungamira,no,
profile.voiceB,A voice that tells you when your stop is near and when to get off. Turn it on per language.,Inzwi rinokuudza kana chiteshi chako chaswedera uye pekuburuka. Batidza pamutauro waunoda.,no,
profile.voiceNote,The current voice is a placeholder until recorded Zimbabwean voices land.,Inzwi ririko nderekumbomira kusvika manzwi echiZimbabwe akarekodhwa asvika.,no,
profile.voiceEn,English voice,Inzwi reChirungu,no,
profile.voiceSn,Shona voice,Inzwi reChiShona,no,
profile.on,On,Rakabatidzwa,no,
profile.off,Off,Rakadzimwa,no,
profile.emergencyH,Emergency details,Ruzivo rwepakaoma,no,
profile.emergencyWhy,"If something happens on the road, the person you name here is who gets called, and your medical aid details speed up help. Svika asks so that help is one tap away, never for marketing. This is optional, only you can see it, and you can remove it any time.","Kana chimwe chikaitika murwendo, munhu waunonyora pano ndiye anofonerwa, uye ruzivo rwemedical aid rwako runokurumidzisa rubatsiro. Svika inokumbira kuti rubatsiro rive pedyo, kwete zvekushambadza. Izvi ndezvekuzvisarudzira, ndiwe wega unozviona, uye unogona kuzvibvisa chero nguva.",no,
profile.kinName,Next of kin name,Zita rehama yepedyo,no,
profile.kinPhone,Next of kin phone,Foni yehama yepedyo,no,
profile.aidName,Medical aid name,Zita remedical aid,no,
profile.aidNumber,Medical aid number,Nhamba yemedical aid,no,
profile.emergencyConsent,I agree that Svika stores these details for emergencies. I can remove them at any time.,Ndinobvuma kuti Svika ichengete ruzivo urwu rwepakaoma. Ndinogona kuzvibvisa chero nguva.,no,
profile.emergencySave,Save emergency details,Chengeta ruzivo rwepakaoma,no,
profile.emergencyRemove,Remove these details,Bvisa ruzivo urwu,no,
profile.emergencySaved,Saved. Only you can see these details.,Zvachengetwa. Ndiwe wega unoona ruzivo urwu.,no,
profile.emergencyRemoved,"Removed, and the withdrawal is recorded.","Zvabviswa, uye kubvisa kwacho kwanyorwa.",no,
profile.errConsent,Tick the consent box first.,Tanga wabvuma mubhokisi remvumo.,no,
profile.errEmpty,Add at least one detail before saving.,Isa ruzivo rumwe chete kana kupfuura usati wachengeta.,no,
profile.errGeneric,That did not save. Try again.,Hazvina kuchengetedzwa. Edzazve.,no,
voice.approaching,Your stop is coming up.,Wakusvika pachiteshi chako.,no,
voice.getOff,This is your stop. Get off here.,Chiteshi chako ndechichi. Chiburuka pano.,no,
voice.walk,Your walking leg starts here.,Kufamba netsoka kunotangira pano.,no,
alert.title,Your usual kombi is close,Kombi yaunogara uchikwira yaswedera,no,
share.sectionH,Share my ride,Govera rwendo rwangu,no,
share.sectionB,"Send this link to someone who worries about you. They follow the trip on a map, never your code or your money.","Tumira link iyi kune anokufungira. Vanoona rwendo pamepu, kwete kodhi yako kana mari yako.",no,
share.createCta,Create the link,Gadzira link,no,
share.linkLabel,Anyone with this link can follow the trip,Ane link iyi anogona kuona rwendo,no,
share.revokeCta,Stop sharing,Mira kugovera,no,
share.revokedNote,Sharing stopped. The link is dead now.,Kugovera kwamira. Link haichashande.,no,
share.err,That did not work. Try again.,Hazvina kushanda. Edzazve.,no,
share.expiryNote,The link stops working when the trip ends.,Link inomira kushanda kana rwendo rwapera.,no,
share.viewerTitle,Following a trip,Kuona rwendo,no,
share.statusWaiting,Waiting to board,Kumirira kukwira,no,
share.statusOnBoard,On board,Vari mukombi,no,
share.arrives,Arrives,Vanosvika,no,
share.canSeeH,What you can see,Zvaunogona kuona,no,
share.canSee1,The route this trip rides and where the kombis on it are right now.,Nzira yerwendo urwu uye pari makombi ayo izvozvi.,no,
share.canSee2,The stop the trip ends at and the arrival estimate.,Chiteshi chinopera rwendo nefungidziro yekusvika.,no,
share.cannotSeeH,What you cannot see,Zvausingakwanise kuona,no,
share.cannotSee1,"Who is riding, their phone number, their boarding code or their wallet.","Ari kufamba, nhamba yefoni yake, kodhi yake kana chikwama chake.",no,
share.deadH,This link is no longer live,Link iyi haichashande,no,
share.deadB,The trip has ended or the rider stopped sharing it.,Rwendo rwapera kana kuti mufambi amira kurugovera.,no,
story.eta.0,"Watch the arrives number on the card, and the label under it. That label always says what the number stands on: rides we recorded on this road with a phone, or plainly a demo estimate if the engine is ever unreachable. Tap any basis label in the app and it explains itself.","Tarisa nhamba yekusvika pakadhi, nechiratidzo chiri pasi payo. Chiratidzo icho chinogara chichitaura painomira nhamba: nzendo dzatakarekodha munzira ino nefoni, kana kuti fungidziro yekuratidzira pachena kana injini isingawanikwe. Baya chiratidzo chipi zvacho muapp chinozvitsanangura.",no,
story.eta.1,"The whole ladder: a measured average serves today, a trained model waits, and one committed rule promotes it only when it beats the average on rides it never saw. This table is the evidence itself.","Danho rese: avhareji yakayerwa iri kushanda nhasi, modhi yakadzidziswa yakamirira, uye mutemo mumwe wakachengetwa unoikwidza chete kana ichikunda avhareji panzendo yaisati yaona. Tafura iyi ndihwo uchapupu pachahwo.",no,
story.wd.0,"This is the owner's view. Every money figure comes from the real ledger. The watchdog card scans a simulated history, labelled as such, because a watchdog needs months and this network is days old.","Uku ndiko kuona kwemuridzi. Nhamba yega yega yemari inobva mubhuku remari chairo. Kadhi remurindi rinoongorora nhoroondo yakagadzirwa, yakanyorwa saizvozvo, nekuti murindi anoda mwedzi uye network iyi ine mazuva.",no,
story.wd.1,Now the test. Next plants a heavy skim on yesterday inside that simulated history: one kombi of four hands over far less than it took. The route total barely moves.,Zvino muedzo. Enderera inoisa kubiwa kukuru pazuro munhoroondo yakagadzirwa iya: kombi imwe pana ina inopa zvishoma kupfuura zvayakatora. Mari yese yenzira haizununguke zvakanyanya.,no,
story.wd.2,"Read the flag. The fixed threshold rule stayed silent, exactly as its committed score said it would: one kombi's skim dilutes to a few percent at route level. The isolation forest flagged the day.","Verenga chiratidzo. Mutemo wakagadzikwa wakaramba wakanyarara, sekutaura kwakaita zvibodzwa zvawo zvakachengetwa: kubiwa kwekombi imwe kunoderera kusvika pazvikamu zvishoma panzira yese. Sango rekupatsanura rakadoma zuva iri.",no,
story.wd.3,"The explanation reads in English or Shona, and it names a day, a route and an unnamed vehicle, never a person. That rule is enforced by a unit test, not a promise.","Tsanangudzo inoverengeka muChirungu kana muchiShona, uye inodoma zuva, nzira nekombi isina zita, kwete munhu. Mutemo uyu unosimbiswa nebvunzo yekodhi, kwete vimbiso.",no,
vision.stamp,Simulation,Kufananidzira,no,
story.tin.0,Tinashe is riding home from a job interview when his kombi stops hard. This moment is staged: nothing detects crashes in this web app today.,Tinashe ari kudzokera kumba achibva kuinterview yebasa apo kombi yake inomira zvakaoma. Chiitiko ichi ndechekufananidzira: hapana chinobata tsaona muapp iyi nhasi.,no,
story.tin.1,His mother's phone gets the auto message with a live location link. The link grammar is Svika's real share my ride feature.,Foni yaamai vake inogamuchira meseji nelink yekuona paari. Link iyi inoshanda semashandiro eshare my ride chaiyo yeSvika.,no,
story.tin.2,"A responder opens the link and sees what Tinashe chose to store: next of kin and medical aid. These are the real profile fields from the app today, shown with demo persona values.","Mubatsiri anovhura link oona zvakasarudzwa naTinashe kuchengetwa: hama yepedyo nemedical aid. Ndiwo minda chaiyo yeprofile iripo nhasi, ichiratidzwa neruzivo rwemuenzaniso.",no,
story.tin.3,"Plainly: crash detection ships with the native app, not this build. What is live today is the profile's emergency details, consented and protected, one tap from help.","Zviri pachena: kubata tsaona kunouya neapp yepafoni, kwete build ino. Chiripo nhasi ndicho ruzivo rwepakaoma rwepaprofile, rwakabvumirwa uye rwakachengetedzwa, padyo nerubatsiro.",no,
vision.tin.alertH,Sudden stop on the corridor,Kumira kwakaoma munzira,no,
vision.tin.alertNear,near,pedyo ne,no,
vision.tin.alertSent,The auto message with his live location is on its way to Amai Moyo.,Meseji ine paari izvozvi iri kuenda kuna Amai Moyo.,no,
vision.tin.kinPhone,Amai Moyo's phone,Foni yaAmai Moyo,no,
vision.tin.kinMsg,Tinashe's kombi stopped suddenly near Copacabana. Follow his live location:,Kombi yaTinashe yamira nekukurumidza pedyo neCopacabana. Ona paari izvozvi:,no,
vision.tin.kinFrom,Auto message from Svika,Meseji inozvitumira kubva kuSvika,no,
vision.tin.responderWhy,What a responder sees through the emergency link: only what Tinashe chose to store.,Zvinoonekwa nemubatsiri kuburikidza nelink yepakaoma: zvakasarudzwa naTinashe chete.,no,
vision.tin.responderNote,"These fields are live in the product today. Only the rider can store them, with consent recorded, and removal is one tap on the profile.","Minda iyi inoshanda muapp nhasi. Mufambi chete ndiye anoichengeta, nemvumo yakanyorwa, uye kubvisa kuri padyo paprofile.",no,
story.gogo.0,Gogo does not own a smartphone and never will. Her mbudzi's keypad works: dial *123# and press OK.,Gogo havana smartphone uye havazombovi nayo. Makiyi embudzi yavo anoshanda: dhayira *123# wobaya OK.,no,
story.gogo.1,"Every menu here is real tested code, and the how far answer comes from the same eta engine the app uses. What waits is a telco aggregator agreement: a contract, not a build.","Menyu imwe neimwe pano icode chaiyo yakaedzwa, uye mhinduro yekuti kombi iri kure sei inobva kuinjini imwe chete yeeta inoshandiswa neapp. Chakamirirwa chibvumirano nemakambani emafoni: kondirakiti, kwete kuvaka.",no,
vision.gogo.menu1,1. My credit,1. Mari yangu,no,
vision.gogo.menu2,2. Book my usual trip,2. Bhuka rwendo rwangu,no,
vision.gogo.menu3,3. How far is my kombi,3. Kombi yangu iri kure sei,no,
vision.gogo.menu4,4. Claim my change,4. Tora chenji yangu,no,
vision.gogo.invalid,That choice is not on the menu.,Sarudzo iyoyo haipo pamenyu.,no,
vision.gogo.claimPrompt,Enter the 4 digit change code from your ride. 0 goes back.,Isa kodhi yechenji ine nhamba 4 yerwendo rwako. 0 inodzokera shure.,no,
vision.gogo.balance,Your credit:,Mari yako:,no,
vision.gogo.booked,Booked:,Zvabhukwa:,no,
vision.gogo.bookedCode,Show the hwindi code,Ratidza hwindi kodhi,no,
vision.gogo.eta,Your kombi is about,Kombi yako iri angangoita,no,
vision.gogo.etaDemo,(demo estimate),(fungidziro yekuratidzira),no,
vision.gogo.claimed,Change kept as credit. New balance:,Chenji yachengetwa semari. Yasvika:,no,
vision.gogo.claimRejected,That code did not match a ride.,Kodhi iyoyo haina kuwirirana nerwendo.,no,
vision.gogo.unavailable,Service not available now. Try again.,Sevhisi haipo izvozvi. Edzazve.,no,
vision.gogo.idleHint,Dial,Dhayira,no,
vision.gogo.endedHint,Session ended. Dial again:,Zvapera. Dhayirazve:,no,
vision.gogo.waiting,Please wait,Mirira zvishoma,no,
vision.gogo.keyOk,OK,OK,no,
vision.gogo.keyClear,C,C,no,
story.cap.0,Every kombi on the corridor wears how full its conductor declares it. The card holds that number against what redeemed tickets and check ins prove.,Kombi imwe neimwe munzira inoratidza kuzara kwainotaurwa nahwindi wayo. Kadhi rinoenzanisa nhamba iyoyo nezvinoratidzwa nematikiti akashandiswa nekupinda kwakanyorwa.,no,
